First_Name,Last_Name,Country_Of_Birth,Date_Of_Birth,Customer_ID,Source_System,Policy_Type,Policy_Code,Policy_Activation_Date
Hanae,Roberts,Falkland Islands,21-07-1984,271100,LiveLong,Retirement Annuity,R-8463,23-09-1984
Hermione,Richards,Saint Kitts and Nevis,19-11-1985,390400,LiveLong,Retirement Annuity,R-9075,29-08-2009
Velma,Barnes,Guyana,15-04-1975,250800,LiveLong,Retirement Annuity,R-5608,28-02-1981
Oprah,Hodge,Guinea,23-05-1962,254050,LiveLong,Retirement Annuity,R-9850,28-05-1993
Shelley,Coffey,Czech Republic,22-03-1966,335900,LiveLong,Retirement Annuity,R-6254,18-08-1980
Phelan,Roach,"Palestine, State of",08-05-1957,214900,LiveLong,Retirement Annuity,R-5774,02-12-1994
Xyla,Harvey,Chile,23-03-1981,224900,LiveLong,Retirement Annuity,R-7705,11-08-1996
Martin,Battle,Norfolk Island,19-03-1965,249450,LiveLong,Retirement Annuity,R-7819,24-03-1995
Shelby,Huff,Christmas Island,10-10-1974,245800,LiveLong,Retirement Annuity,R-7461,02-01-1984
Charlotte,Avery,Cape Verde,19-07-1969,322550,LiveLong,Retirement Annuity,R-7118,03-11-2011
Taylor,Watson,Qatar,03-11-1968,270500,LiveLong,Retirement Annuity,R-7582,14-07-1989
Armando,Sims,Finland,08-07-1985,373250,LiveLong,Retirement Annuity,R-8740,21-02-2011
Len,Waters,Uganda,12-12-1985,306200,LiveLong,Retirement Annuity,R-6520,07-04-1981
Basil,Murphy,Turkmenistan,17-09-1953,266450,LiveLong,Retirement Annuity,R-5833,29-09-1984
Shana,Herring,Iceland,16-03-1969,234850,LiveLong,Retirement Annuity,R-7458,03-02-1994
Sierra,Banks,"Virgin Islands, British",27-03-1955,348700,LiveLong,Retirement Annuity,R-9977,22-12-1997
Gannon,Fry,Greece,16-02-1961,393400,LiveLong,Retirement Annuity,R-8987,27-06-2001
Perry,Horton,Indonesia,08-05-1954,351750,LiveLong,Retirement Annuity,R-5347,26-09-1985
Solomon,Valenzuela,New Zealand,02-04-1955,306650,LiveLong,Retirement Annuity,R-7840,10-10-2002
Ebony,Black,Samoa,10-08-1962,281100,LiveLong,Retirement Annuity,R-6993,19-05-1993
Josiah,Lee,Tanzania,15-07-1981,244850,LiveLong,Retirement Annuity,R-9756,13-09-2009
Petra,Waters,Macao,24-07-1978,280600,LiveLong,Retirement Annuity,R-5477,04-10-1986
MacKensie,Preston,American Samoa,12-01-1957,286900,LiveLong,Retirement Annuity,R-8385,04-10-1980
Colette,Richards,South Georgia and The South Sandwich Islands,14-12-1963,377900,LiveLong,Retirement Annuity,R-7646,28-06-2014
Hamilton,Kelly,"Korea, South",27-05-1983,375000,LiveLong,Retirement Annuity,R-6408,21-07-1983
Ezra,Mcgowan,Seychelles,15-03-1960,336500,LiveLong,Retirement Annuity,R-7865,27-08-2006
Keane,Lester,Jamaica,07-03-1954,307800,LiveLong,Retirement Annuity,R-5473,06-03-1998
Indigo,Spence,Bouvet Island,18-01-1971,268250,LiveLong,Retirement Annuity,R-6471,04-03-1997
Luke,Mueller,Iran,31-08-1976,249450,LiveLong,Retirement Annuity,R-9412,11-05-2015
Lacota,Cruz,Dominican Republic,10-05-1977,256550,LiveLong,Retirement Annuity,R-5548,05-03-2016
Quinn,Hopper,South Sudan,17-04-1960,355050,LiveLong,Retirement Annuity,R-7864,02-07-1984
Hakeem,Hicks,Iraq,14-04-1958,371100,LiveLong,Retirement Annuity,R-9386,01-05-1998
Lareina,Harrell,Cuba,15-03-1962,253550,LiveLong,Retirement Annuity,R-6027,03-08-2014
Christopher,Prince,San Marino,25-02-1985,259450,LiveLong,Retirement Annuity,R-9237,29-03-1982
Baxter,Holder,Nepal,11-05-1960,395800,LiveLong,Retirement Annuity,R-6213,04-09-2001
Evan,Mccarty,Finland,13-01-1956,265600,LiveLong,Retirement Annuity,R-9858,15-11-2014
Cathleen,Hawkins,Bahrain,08-09-1966,202100,LiveLong,Retirement Annuity,R-7652,02-06-1985
