First_Name,Last_Name,Country_Of_Birth,Date_Of_Birth,Customer_ID,Source_System,Policy_Type,Policy_Code,Policy_Activation_Date
Zorita,Olsen,Botswana,15-04-1974,392950,MasterInvest,Investment,I-5117,30-07-1990
Angelica,Roberson,Qatar,03-07-1958,280450,MasterInvest,Investment,I-5467,13-06-1988
Wayne,Mercer,New Caledonia,02-06-1970,260200,MasterInvest,Investment,I-5825,26-09-1992
Teegan,Gray,Armenia,18-08-1955,395800,MasterInvest,Investment,I-6655,02-04-2004
Gail,Carr,Heard Island and Mcdonald Islands,06-01-1983,202100,MasterInvest,Investment,I-9458,09-11-2005
Kimberley,Calderon,Swaziland,17-02-1982,298500,MasterInvest,Investment,I-6046,23-06-2012
Rylee,Boyle,Guyana,30-09-1965,378000,MasterInvest,Investment,I-8859,01-09-1987
Aurelia,Holloway,Nauru,26-09-1980,254500,MasterInvest,Investment,I-9929,03-08-2013
Kerry,Oconnor,China,21-03-1966,351400,MasterInvest,Investment,I-9387,20-09-2009
Zachary,Cash,American Samoa,22-03-1958,355300,MasterInvest,Investment,I-6654,09-04-1988
Winter,Whitley,Australia,14-09-1958,201850,MasterInvest,Investment,I-5800,02-03-1984
Teegan,Hahn,"Palestine, State of",25-06-1966,251100,MasterInvest,Investment,I-9489,14-02-1984
Chastity,Russell,Zambia,23-09-1972,317150,MasterInvest,Investment,I-6481,29-09-2007
Britanney,Stafford,Italy,17-04-1966,244500,MasterInvest,Investment,I-8781,01-12-2007
Steel,Berg,Russian Federation,21-07-1972,326100,MasterInvest,Investment,I-6414,23-11-2016
Sierra,Boyle,Albania,09-12-1975,204400,MasterInvest,Investment,I-8625,22-12-1981
Stephanie,Nixon,Latvia,07-08-1981,298050,MasterInvest,Investment,I-6222,25-09-2000
Griffin,Stafford,Gabon,02-07-1980,284400,MasterInvest,Investment,I-9760,15-09-1988
Dorothy,Weaver,Tunisia,14-07-1956,396350,MasterInvest,Investment,I-5200,19-02-2014
Dennis,Miller,Eritrea,06-12-1971,380850,MasterInvest,Investment,I-7901,26-12-2004
Joelle,Zimmerman,Holy See (Vatican City State),18-07-1953,260500,MasterInvest,Investment,I-8044,06-03-2005
Maggy,Melendez,Albania,24-07-1962,345000,MasterInvest,Investment,I-5316,28-08-1980
Kaseem,Green,Switzerland,23-12-1978,379350,MasterInvest,Investment,I-6197,25-01-2006
Dane,Mathis,Canada,04-03-1960,373250,MasterInvest,Investment,I-5954,24-10-2000
Castor,Ramsey,Faroe Islands,16-04-1983,225450,MasterInvest,Investment,I-8111,14-09-1996
Marshall,Raymond,"Korea, South",14-08-1954,307550,MasterInvest,Investment,I-5216,08-08-2014
Alea,Moon,Somalia,05-06-1983,376050,MasterInvest,Investment,I-7993,19-10-1995
Camilla,Baird,Zambia,27-06-1979,358250,MasterInvest,Investment,I-9368,21-06-2007
Hiroko,Donaldson,Bosnia and Herzegovina,15-01-1974,374000,MasterInvest,Investment,I-7263,14-07-1997
Samson,Doyle,South Africa,16-05-1965,358000,MasterInvest,Investment,I-7649,03-01-2011
Daryl,Stokes,Peru,01-04-1955,297100,MasterInvest,Investment,I-9869,09-06-1990
Melanie,Acevedo,Uganda,02-09-1985,313850,MasterInvest,Investment,I-7084,05-01-2003
Colorado,Evans,Japan,04-12-1968,371100,MasterInvest,Investment,I-5877,19-11-2005
Vincent,Spencer,Romania,21-02-1957,235350,MasterInvest,Investment,I-5673,06-07-2013
Kato,Acevedo,Bolivia,09-12-1979,279600,MasterInvest,Investment,I-5148,22-05-2012
Daniel,Holcomb,Mauritius,08-10-1953,396450,MasterInvest,Investment,I-6847,28-09-1999
Quincy,Hodges,Venezuela,11-02-1953,336500,MasterInvest,Investment,I-7267,22-01-1983
Karina,Avila,Venezuela,17-02-1977,307550,MasterInvest,Investment,I-5928,29-04-1986
Luke,Mueller,Iran,31-08-1976,249450,MasterInvest,Investment,I-6482,04-04-1999
Karina,Avila,Venezuela,17-02-1977,307550,MasterInvest,Investment,I-6734,28-06-1990
Myles,Huber,Belgium,17-06-1964,388900,MasterInvest,Investment,I-9176,10-09-2002
Quinn,Mays,Mayotte,03-03-1959,360000,MasterInvest,Investment,I-5028,30-09-2009
Jamalia,Ellison,Spain,31-03-1953,392550,MasterInvest,Investment,I-6374,19-01-2014
Kane,Mcknight,Guam,08-02-1959,390400,MasterInvest,Investment,I-6120,22-03-1995
Francesca,Pitts,Uruguay,17-03-1959,298500,MasterInvest,Investment,I-9553,30-08-2016
