First_Name,Last_Name,Country_Of_Birth,Date_Of_Birth,Customer_ID,Source_System,Policy_Type,Policy_Code,Policy_Activation_Date
Fritz,Hahn,Rwanda,04-11-1985,388900,Ramco,Life Policy,L-8139,28-12-2003
Alika,Vincent,Venezuela,24-12-1956,259450,Ramco,Life Policy,L-9489,06-06-1985
Ocean,Mullen,Portugal,04-11-1970,360000,Ramco,Life Policy,L-9738,04-02-2004
Flavia,Hampton,Philippines,08-10-1974,365300,Ramco,Life Policy,L-6068,04-02-2003
Naida,Gonzales,Comoros,07-03-1957,392550,Ramco,Life Policy,L-9367,07-12-1991
Ira,Santana,Algeria,31-12-1960,274350,Ramco,Life Policy,L-5445,11-01-1980
Teegan,Owens,Tuvalu,18-02-1964,265600,Ramco,Life Policy,L-7636,06-03-2001
Nathan,Knapp,Liberia,01-10-1961,361750,Ramco,Life Policy,L-7843,23-12-1987
Shannon,Sparks,Antarctica,23-10-1985,274300,Ramco,Life Policy,L-5872,30-12-2000
Iona,Kemp,Sudan,05-02-1958,318500,Ramco,Life Policy,L-7358,15-02-1996
Charity,David,Monaco,04-11-1953,236700,Ramco,Life Policy,L-7437,18-06-2010
Knox,Warren,Australia,16-03-1976,393050,Ramco,Life Policy,L-8671,07-07-1989
Meredith,Marks,Mongolia,04-05-1971,229600,Ramco,Life Policy,L-5713,08-03-2006
Ava,Miranda,Turkey,15-09-1956,384250,Ramco,Life Policy,L-8857,29-08-2005
Aaron,Holden,Iceland,28-01-1980,348650,Ramco,Life Policy,L-5135,27-08-2001
Lacy,Horne,Ecuador,02-05-1955,216100,Ramco,Life Policy,L-9019,12-08-1981
Urielle,Browning,Turkmenistan,24-03-1984,358200,Ramco,Life Policy,L-6322,06-03-1998
Neville,Buckley,"Korea, North",30-05-1973,256550,Ramco,Life Policy,L-9580,12-10-2011
Rooney,Mathis,Aruba,11-03-1970,356700,Ramco,Life Policy,L-7325,01-04-1987
Jared,Hester,Solomon Islands,04-01-1961,308000,Ramco,Life Policy,L-7555,16-08-2009
Carol,Osborn,Bolivia,14-10-1968,206000,Ramco,Life Policy,L-7819,09-09-2007
Callum,Logan,Namibia,14-05-1952,355050,Ramco,Life Policy,L-6761,22-05-2004
Risa,Burton,Czech Republic,10-08-1956,270800,Ramco,Life Policy,L-5414,01-09-1989
Hunter,Randall,Macedonia,30-09-1983,258500,Ramco,Life Policy,L-6421,02-09-2005
Wilma,Petty,Djibouti,08-01-1982,252200,Ramco,Life Policy,L-6653,22-01-1993
Iliana,Head,Suriname,20-04-1970,319200,Ramco,Life Policy,L-8381,18-11-1982
Kibo,Booker,Spain,08-04-1976,336500,Ramco,Life Policy,L-9102,20-11-2003
Kyra,Wise,Saudi Arabia,12-06-1982,380250,Ramco,Life Policy,L-9248,19-03-2011
Mariam,Walker,Guernsey,12-09-1968,282350,Ramco,Life Policy,L-9998,12-10-2013
Ima,Macias,"Palestine, State of",17-03-1968,322000,Ramco,Life Policy,L-9475,07-05-1999
Aphrodite,Juarez,Pakistan,20-05-1977,384850,Ramco,Life Policy,L-6024,31-10-1986
Kellie,Webb,Sao Tome and Principe,14-09-1980,370400,Ramco,Life Policy,L-6430,27-07-1998
Solomon,Ross,Curaçao,22-12-1959,305300,Ramco,Life Policy,L-5702,05-03-1994
Dante,Gray,Northern Mariana Islands,28-01-1976,219400,Ramco,Life Policy,L-8832,20-12-1987
Xenos,Randolph,Turkmenistan,30-06-1981,327650,Ramco,Life Policy,L-5918,09-07-2005
Cassidy,Dean,Malaysia,25-05-1976,253550,Ramco,Life Policy,L-9995,07-02-1996
Quincy,Hodges,Venezuela,11-02-1953,336500,Ramco,Life Policy,L-7871,17-09-2012
Hakeem,Hicks,Iraq,14-04-1958,371100,Ramco,Life Policy,L-9185,24-05-1993
Sylvia,Rutledge,Honduras,30-07-1962,271100,Ramco,Life Policy,L-9715,06-12-1996
Alana,Mosley,Switzerland,16-09-1955,365300,Ramco,Life Policy,L-9327,04-08-2007
Remedios,Livingston,French Polynesia,21-08-1961,392950,Ramco,Life Policy,L-9207,26-05-1990
Samuel,Rodriguez,Micronesia,13-06-1982,280450,Ramco,Life Policy,L-6647,08-10-2000
Oleg,Burns,France,18-11-1966,274350,Ramco,Life Policy,L-9839,14-04-1995
Zachery,Henderson,Slovakia,23-03-1958,260200,Ramco,Life Policy,L-8634,18-11-2013
Mia,Foreman,Kiribati,20-12-1978,361750,Ramco,Life Policy,L-9902,22-08-1984
